"orderIndex","disclosure-requirement nr.","disclosure-requirement name","datapoint nr.","sub-number","description","parent description","datapoint title","sub-title","entered data","unit","explanation","reportability","obligation","dataAvailability","status","reviewResult","explanationReview","hasDocuments","editor","reviewer"
168,"E1-SBM-3","Materielle Auswirkungen, Risiken und Chancen und deren Interaktion mit Strategie und Geschäftsmodell","19","19a","Das Unternehmen beschreibt die Resilienz seiner Strategie und seines Geschäftsmodells in Bezug auf den Klimawandel. Zur Beschreibung gehören:
Der Umfang der Resilienzanalyse,","Das Unternehmen erläutert die Resilienz seiner Geschäftsstrategie und seines Geschäftsmodells gegenüber den Auswirkungen des Klimawandels, einschließlich der durchgeführten Analysen und getroffenen Maßnahmen.","Resilienzstrategie des Unternehmens gegenüber Klimawandel","Was ist der Umfang der durchgeführten Resilienzanalyse?","Im Berichtszeitraum wurde noch keine formale Resilienzanalyse der Geschäftsstrategie und des Geschäftsmodells gegenüber den Auswirkungen des Klimawandels durchgeführt. Entsprechend wurde bislang kein definierter Analyseumfang festgelegt.

Das Unternehmen befindet sich derzeit in einer Aufbauphase seiner klimabezogenen Steuerungsinstrumente. Die Durchführung einer strukturierten Resilienzanalyse ist als nächster Entwicklungsschritt vorgesehen und soll schrittweise auf Basis klimabezogener Risiko- und Szenarioanalysen erfolgen.","","Das Datum wurde eingetragen, da Pflichtfeld. Es wurde noch keine Resilienzanalyse durchgeführt","REPORTABLE","Mandatory","NOT_SPECIFIED","EDIT_REVIEW","Pending",,"No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)"
169,"E1-SBM-3","Materielle Auswirkungen, Risiken und Chancen und deren Interaktion mit Strategie und Geschäftsmodell","19","19b","Das Unternehmen beschreibt die Resilienz seiner Strategie und seines Geschäftsmodells in Bezug auf den Klimawandel. Zur Beschreibung gehören:
Angaben dazu, wie die Resilienzanalyse durchgeführt wurde, einschließlich der Verwendung der Analyse von Klimaszenarien, auf die in der Angabepflicht im Zusammenhang mit dem nachstehenden ESRS 2 IRO-1 und den entsprechenden Anwendungsanforderungen verwiesen wird,","Das Unternehmen erläutert die Resilienz seiner Geschäftsstrategie und seines Geschäftsmodells gegenüber den Auswirkungen des Klimawandels, einschließlich der durchgeführten Analysen und getroffenen Maßnahmen.","Resilienzstrategie des Unternehmens gegenüber Klimawandel","Offenlegung, wann eine Resilienzanalyse durchgeführt wurde","Eine Resilienzanalyse im Sinne der ESRS, einschließlich der Nutzung von Klimaszenarien zur Bewertung physischer und transitorischer Klimarisiken, wurde bislang nicht durchgeführt.

Klimabezogene Aspekte werden derzeit qualitativ berücksichtigt, insbesondere im Rahmen der Treibhausgasbilanzierung, der Definition von Emissionsreduktionszielen sowie der Ableitung von Klimaschutzmaßnahmen. Diese Elemente stellen jedoch noch keine integrierte Resilienzanalyse der Strategie und des Geschäftsmodells dar.","","Das Datum wurde eingetragen, da Pflichtfeld. Es wurde noch keine Resilienzanalyse durchgeführt","REPORTABLE","Mandatory","NOT_SPECIFIED","EDIT_REVIEW","Pending",,"No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)"
170,"E1-SBM-3","Materielle Auswirkungen, Risiken und Chancen und deren Interaktion mit Strategie und Geschäftsmodell","19","19b","Das Unternehmen beschreibt die Resilienz seiner Strategie und seines Geschäftsmodells in Bezug auf den Klimawandel. Zur Beschreibung gehören:
Angaben dazu, wann die Resilienzanalyse durchgeführt wurde.","Das Unternehmen erläutert die Resilienz seiner Geschäftsstrategie und seines Geschäftsmodells gegenüber den Auswirkungen des Klimawandels, einschließlich der durchgeführten Analysen und getroffenen Maßnahmen.","Resilienzstrategie des Unternehmens gegenüber Klimawandel","Wann wurde die Resilienzanalyse durchgeführt?","12/30/2024","","Das Datum wurde eingetragen, da Pflichtfeld. Es wurde noch keine Resilienzanalyse durchgeführt","REPORTABLE","Mandatory","NOT_SPECIFIED","EDIT_REVIEW","Pending",,"No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)"
172,"E1-SBM-3","Materielle Auswirkungen, Risiken und Chancen und deren Interaktion mit Strategie und Geschäftsmodell","19","19c","Das Unternehmen beschreibt die Resilienz seiner Strategie und seines Geschäftsmodells in Bezug auf den Klimawandel. Zur Beschreibung gehören:
Die Ergebnisse der Resilienzanalyse, einschließlich der Ergebnisse der Szenarioanalysen.","Das Unternehmen erläutert die Resilienz seiner Geschäftsstrategie und seines Geschäftsmodells gegenüber den Auswirkungen des Klimawandels, einschließlich der durchgeführten Analysen und getroffenen Maßnahmen.","Resilienzstrategie des Unternehmens gegenüber Klimawandel","Welche Zeithorizonte wurden angewandt, und wie sind sie auf die Klima- und Geschäftsszenarien abgestimmt, um wesentliche Risiken und Emissionsreduktionsziele zu bestimmen?","Eine Resilienzanalyse im Sinne der ESRS, einschließlich der Nutzung von Klimaszenarien zur Bewertung physischer und transitorischer Klimarisiken, wurde bislang nicht durchgeführt.

Klimabezogene Aspekte werden derzeit qualitativ berücksichtigt, insbesondere im Rahmen der Treibhausgasbilanzierung, der Definition von Emissionsreduktionszielen sowie der Ableitung von Klimaschutzmaßnahmen. Diese Elemente stellen jedoch noch keine integrierte Resilienzanalyse der Strategie und des Geschäftsmodells dar.","","Das Datum wurde eingetragen, da Pflichtfeld. Es wurde noch keine Resilienzanalyse durchgeführt","REPORTABLE","Mandatory","NOT_SPECIFIED","EDIT_REVIEW","Pending",,"No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)"
173,"E1-SBM-3","Materielle Auswirkungen, Risiken und Chancen und deren Interaktion mit Strategie und Geschäftsmodell","AR 8","AR 8b","Bei der Angabe der Informationen über die Ergebnisse der Resilienzanalyse gemäß Absatz 19 Buchstabe c erläutert das Unternehmen Folgendes:
Die Fähigkeit des Unternehmens, sein Geschäftsmodell kurz-, mittel- und langfristig an den Klimawandel anzupassen, auch im Hinblick darauf, den ständigen Zugang zu Finanzmitteln zu erschwinglichen Kapitalkosten, die Fähigkeit zur Umwidmung, Modernisierung oder Stilllegung vorhandener Vermögenswerte, die Verlagerung seines Produkt- und Dienstleistungsportfolios oder die Umschulung seiner Arbeitskräfte sicherzustellen.","Das Unternehmen beschreibt die Ergebnisse seiner Resilienzanalyse und erläutert die Anpassungsfähigkeit seines Geschäftsmodells an den Klimawandel, einschließlich der Sicherstellung von Finanzmitteln, Vermögensverwaltung, Portfolioanpassungen und der Umschulung der Arbeitskräfte.","Ergebnisse der Resilienzanalyse des Geschäftsmodells","Wie passt sich Ihr Geschäftsmodell an den Klimawandel an, und wie sichern Sie Finanzmittel, Vermögensverwaltung, Portfolioanpassung und Umschulung der Arbeitskräfte kurz-, mittel- und langfristig?","Im Berichtszeitraum wurde keine formale Resilienzanalyse des Geschäftsmodells gegenüber den Auswirkungen des Klimawandels durchgeführt. Entsprechend liegen noch keine systematisch abgeleiteten Ergebnisse im Sinne einer Resilienzanalyse gemäß ESRS vor.

Unabhängig davon weist das Geschäftsmodell von Fröbel bereits strukturelle Merkmale auf, die eine grundsätzliche Anpassungsfähigkeit an klimabezogene Veränderungen unterstützen. Dazu zählt insbesondere die überwiegend langfristige, öffentlich refinanzierte Tätigkeit im Bereich der frühkindlichen Bildung, die im Kern nicht von energie- oder ressourcenintensiven Produktionsprozessen abhängt. Der Zugang zu Finanzmitteln erfolgt überwiegend über öffentliche Refinanzierungsmechanismen und institutionelle Förderstrukturen und ist daher derzeit nicht unmittelbar von kurzfristigen Klimarisiken oder Kapitalmarktschwankungen betroffen.

Kurz- bis mittelfristig erfolgt die Anpassung des Geschäftsmodells primär über operative Maßnahmen, insbesondere:
- die schrittweise Reduktion von Treibhausgasemissionen,
- Investitionen in Energieeffizienz und erneuerbare Energien,
- die Weiterentwicklung von Gebäudenutzung und Betriebsprozessen sowie
- Qualifizierungsmaßnahmen für Beschäftigte in den Bereichen Nachhaltigkeit, Klimaschutz und Anpassung.

Langfristige Anpassungsentscheidungen – etwa zur strategischen Weiterentwicklung des Leistungsportfolios, zur systematischen Bewertung klimabedingter Risiken für Vermögenswerte oder zur gezielten Umschulung von Arbeitskräften – sollen künftig auf Grundlage einer strukturierten Resilienzanalyse und klimabezogener Szenarioanalysen getroffen werden.

Die Durchführung einer solchen Resilienzanalyse ist als nächster Entwicklungsschritt vorgesehen, um die kurz-, mittel- und langfristige Anpassungsfähigkeit des Geschäftsmodells fundiert zu bewerten und strategisch weiterzuentwickeln.","","","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand.","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
174,"E1-IRO-1","Beschreibung der Verfahren zur Ermittlung und Bewertung der wesentlichen klimabezogenen Auswirkungen, Risiken und Chancen","20","20a, AR 9","20. Das Unternehmen hat das Verfahren zur Ermittlung und Bewertung der klimabezogenen Auswirkungen, Risiken und Chancen zu beschreiben. Diese Beschreibung umfasst seine Verfahren in Bezug auf:
a) Die Auswirkungen auf den Klimawandel, insbesondere die Treibhausgasemissionen des Unternehmens (gemäß der Angabepflicht ESRS E1-6)

AR 9. Bei der Angabe der Informationen über die Verfahren zur Ermittlung und Bewertung der Klimaauswirkungen gemäß Absatz 20 Buchstabe a erläutert das Unternehmen, wie es
a) seine Aktivitäten und Pläne überprüft hat, um tatsächliche und potenzielle künftige Treibhausgasemissionsquellen und gegebenenfalls Ursachen für andere klimabezogene Auswirkungen (z. B. Emissionen von Ruß oder troposphärischem Ozon oder Landnutzungsänderungen) im Rahmen seiner eigenen Tätigkeiten und entlang der Wertschöpfungskette zu ermitteln, und
b) seine tatsächlichen und potenziellen Auswirkungen auf den Klimawandel (d. h. seine gesamten Treibhausgasemissionen) bewertet hat.","Das Unternehmen beschreibt seine Verfahren zur Ermittlung und Bewertung klimabezogener Auswirkungen, Risiken und Chancen, einschließlich der Bewertung von Treibhausgasemissionen, klimabedingten physischen Risiken und ihrer Auswirkungen auf Vermögenswerte und Geschäftstätigkeiten.","Ermittlung und Bewertung klimabezogener Auswirkungen, Risiken und Chancen","Wie überprüfen und bewerten Sie Ihre Aktivitäten und Pläne im Hinblick auf tatsächliche und potenzielle Treibhausgasemissionsquellen sowie andere klimabezogene Auswirkungen?","Fröbel überprüft und bewertet seine Aktivitäten und Planungen im Hinblick auf tatsächliche und potenzielle Treibhausgasemissionsquellen systematisch im Rahmen der jährlichen Treibhausgasbilanzierung.
Die Erhebung der Verbrauchsdaten (Strom, Fernwärme, Gas, Kraftstoffe) erfolgt zentral über das CAFM-System sowie ergänzend durch Zulieferdaten von Energieversorgern und Dienstleistern. Auf dieser Grundlage werden die Scope 1-, 2- und 3-Emissionen nach dem GHG-Protocol ermittelt und analysiert.

Die Bewertung erfolgt entlang der wesentlichen Emissionsquellen der Organisation, insbesondere:
- stationäre Verbrennung (Heizenergieverbrauch in Kitas und Verwaltungsgebäuden),
- eingekaufter Strom und Fernwärme,
- dienstlich bedingte Mobilität,
- Beschaffung und Verpflegung (indirekte Emissionen der Wertschöpfungskette).

Im Rahmen der doppelten Wesentlichkeitsanalyse werden diese Emissionen hinsichtlich ihrer Auswirkungen auf den Klimawandel und ihrer Bedeutung für FRÖBEL bewertet. Dabei werden sowohl tatsächliche als auch potenzielle zukünftige Emissionsquellen (z. B. durch geplantes Wachstum, neue Bauprojekte oder Änderungen der Energieversorgung) berücksichtigt.

Weitere klimabezogene Auswirkungen wie Rußemissionen, troposphärisches Ozon oder Landnutzungsänderungen sind für die Tätigkeit von FRÖBEL als freier Träger frühkindlicher Bildung nicht wesentlich und werden daher nicht gesondert bewertet.","","","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand.  Chancen und Risiken werden laufend im Blick behalten und ggf. durch Unternehmensaktivitäten eine Steuerung avisiert (bspw. durch Engagement im Bereich der Ansprache politischer Entscheidungsträger in Bezug auf Investitionsprogramme für Klimaanpassungsmaßnahmen im frühkindlichen Bildungsbereich).","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
175,"E1-IRO-1","Beschreibung der Verfahren zur Ermittlung und Bewertung der wesentlichen klimabezogenen Auswirkungen, Risiken und Chancen","20","20b","Das Unternehmen hat das Verfahren zur Ermittlung und Bewertung der klimabezogenen Auswirkungen, Risiken und Chancen zu beschreiben. Diese Beschreibung umfasst seine Verfahren in Bezug auf:
b) Klimabedingte physische Risiken im eigenen Betrieb und innerhalb der vor- und nachgelagerten Wertschöpfungskette, insbesondere:
i. die Ermittlung klimabedingter Gefahren, wobei mindestens die Klimaszenarien mit hohen Emissionen zu berücksichtigen sind, und
ii. eine Bewertung, inwieweit die Vermögenswerte und Geschäftstätigkeiten des Unternehmens im Hinblick auf die Entstehung physischer Bruttorisiken anfällig für diese klimabedingten Gefahren sein können.","Das Unternehmen beschreibt seine Verfahren zur Ermittlung und Bewertung klimabezogener Auswirkungen, Risiken und Chancen, einschließlich der Bewertung von Treibhausgasemissionen, klimabedingten physischen Risiken und ihrer Auswirkungen auf Vermögenswerte und Geschäftstätigkeiten.","Ermittlung und Bewertung klimabezogener Auswirkungen, Risiken und Chancen","Wie ermittelt und bewertet Ihr Unternehmen klimabedingte physische Risiken in Bezug auf Gefahren, Vermögenswerte und Geschäftstätigkeiten entlang der Wertschöpfungskette?","Fröbel ermittelt und bewertet klimabedingte physische Risiken im Rahmen der standortbezogenen Risiko- und Gebäudebewertungen auf Basis der im CAFM-System hinterlegten Gebäudedaten, technischer Bestandsinformationen sowie externer Klimadaten und Gefährdungskarten (z. B. Starkregen-, Hitze- und Hochwasserzonen).

Zur Identifikation klimabedingter Gefahren werden insbesondere Szenarien mit hohen Emissionen (z. B. RCP 8.5 bzw. SSP5-8.5) berücksichtigt, um potenzielle Extremwetterereignisse und Temperaturanstiege zu bewerten.
Für jede Einrichtung wird geprüft, ob und in welchem Umfang sie gegenüber physischen Klimarisiken wie
- Hitze- und Trockenperioden,
 -Starkregen, Hochwasser und Überflutung,
- Sturm- und Windereignissen
anfällig ist.

Die Bewertung der Anfälligkeit erfolgt qualitativ anhand der Art, Lage und Bauweise der Gebäude sowie der vorhandenen Schutz- und Anpassungsmaßnahmen (z. B. Verschattung, Begrünung, Entwässerungssysteme).
Erste Ergebnisse fließen in die Klimaanpassungsstrategie und das Investitions- und Instandhaltungsprogramm ein, um die Resilienz der Standorte gegenüber zukünftigen klimatischen Veränderungen zu erhöhen.

Innerhalb der vor- und nachgelagerten Wertschöpfungskette werden insbesondere klimabedingte Risiken im Bereich der Verpflegung berücksichtigt.
Extreme Wetterereignisse, Dürreperioden und Veränderungen landwirtschaftlicher Produktionsbedingungen können Verfügbarkeits- und Preisrisiken bei Lebensmitteln verursachen und somit indirekte physische Risiken für Fröbel darstellen.
Diese Aspekte werden im Rahmen der Scope-3-Analyse und Beschaffungsbewertung in Zusammenarbeit mit den Verpflegungspartnern regelmäßig beobachtet.","","","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand.  Chancen und Risiken werden laufend im Blick behalten und ggf. durch Unternehmensaktivitäten eine Steuerung avisiert (bspw. durch Engagement im Bereich der Ansprache politischer Entscheidungsträger in Bezug auf Investitionsprogramme für Klimaanpassungsmaßnahmen im frühkindlichen Bildungsbereich).","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
176,"E1-IRO-1","Beschreibung der Verfahren zur Ermittlung und Bewertung der wesentlichen klimabezogenen Auswirkungen, Risiken und Chancen","20","20b (i)","b) klimabedingte physische Risiken im eigenen Betrieb und innerhalb der vor- und nachgelagerten Wertschöpfungskette, insbesondere:
i. die Ermittlung klimabedingter Gefahren, wobei mindestens die Klimaszenarien mit hohen Emissionen zu berücksichtigen sind, und","Das Unternehmen beschreibt seine Verfahren zur Ermittlung und Bewertung klimabezogener Auswirkungen, Risiken und Chancen, einschließlich der Bewertung von Treibhausgasemissionen, klimabedingten physischen Risiken und ihrer Auswirkungen auf Vermögenswerte und Geschäftstätigkeiten.","Ermittlung und Bewertung klimabezogener Auswirkungen, Risiken und Chancen","Beschreiben Sie die klimabedingten Risiken und Gefahren","Im Rahmen der Klimarisikoanalyse wurden klimabedingte physische Gefahren identifiziert, die den eigenen Betrieb sowie Teile der vor- und nachgelagerten Wertschöpfungskette betreffen können. Dabei wurden mindestens Klimaszenarien mit hohen Emissionen berücksichtigt.

Für die Standorte und Einrichtungen ergeben sich insbesondere folgende physische Klimarisiken:
- Akute physische Risiken: zunehmende Häufigkeit und Intensität von Extremwetterereignissen wie Starkregen, Überschwemmungen, Hitzeperioden und Stürmen, die zu temporären Betriebseinschränkungen, Schäden an Gebäuden oder Infrastrukturen sowie zu Beeinträchtigungen des Betreuungsbetriebs führen können.
- Chronische physische Risiken: langfristige Temperaturanstiege, veränderte Niederschlagsmuster und zunehmende Hitze, die sich auf den thermischen Komfort in Gebäuden, den Energiebedarf für Kühlung sowie auf das Wohlbefinden von Kindern und Beschäftigten auswirken können.

In der vor- und nachgelagerten Wertschöpfungskette bestehen physische Risiken insbesondere dort, wo Dienstleister, Versorgungsinfrastrukturen (z. B. Energie- und Wärmeversorgung) oder Lieferketten durch klimabedingte Extremereignisse beeinträchtigt werden können.","","","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand.  Chancen und Risiken werden laufend im Blick behalten und ggf. durch Unternehmensaktivitäten eine Steuerung avisiert (bspw. durch Engagement im Bereich der Ansprache politischer Entscheidungsträger in Bezug auf Investitionsprogramme für Klimaanpassungsmaßnahmen im frühkindlichen Bildungsbereich).","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
177,"E1-IRO-1","Beschreibung der Verfahren zur Ermittlung und Bewertung der wesentlichen klimabezogenen Auswirkungen, Risiken und Chancen","20","20b (ii)","b) klimabedingte physische Risiken im eigenen Betrieb und innerhalb der vor- und nachgelagerten Wertschöpfungskette, insbesondere:
ii. eine Bewertung, inwieweit die Vermögenswerte und Geschäftstätigkeiten des Unternehmens im Hinblick auf die Entstehung physischer Bruttorisiken anfällig für diese klimabedingten Gefahren sein können,","Das Unternehmen beschreibt seine Verfahren zur Ermittlung und Bewertung klimabezogener Auswirkungen, Risiken und Chancen, einschließlich der Bewertung von Treibhausgasemissionen, klimabedingten physischen Risiken und ihrer Auswirkungen auf Vermögenswerte und Geschäftstätigkeiten.","Ermittlung und Bewertung klimabezogener Auswirkungen, Risiken und Chancen","Beschreiben Sie die Bewertung der Exposition von Vermögenswerten und Geschäftstätigkeiten gegenüber klimabedingten Gefahren","Die Exposition von Vermögenswerten und Geschäftstätigkeiten gegenüber klimabedingten physischen Gefahren wurde standortbezogen qualitativ bewertet.

Die wesentlichen Vermögenswerte bestehen aus einer Vielzahl dezentraler Einrichtungen, überwiegend in urbanen und suburbanen Lagen. Die Anfälligkeit ergibt sich insbesondere aus:
- dem Gebäudebestand, der teilweise nicht im Eigentum des Unternehmens steht und daher nur begrenzt durch eigene bauliche Anpassungen beeinflusst werden kann,
- der Abhängigkeit vom kontinuierlichen Betrieb der Einrichtungen, bei dem bereits kurzfristige Unterbrechungen (z. B. durch Hitze, Starkregen oder Stromausfälle) betriebliche Auswirkungen haben können,
- der Nutzung externer Infrastrukturen (Strom, Wärme, Wasser, Verkehr), deren Ausfallrisiken sich durch klimabedingte Ereignisse erhöhen können.

Insgesamt wird die Exposition gegenüber physischen Klimarisiken als moderat, aber standortabhängig eingeschätzt. Die Auswirkungen können lokal erheblich sein, sind jedoch nicht systemisch für das gesamte Geschäftsmodell.","","","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand.  Chancen und Risiken werden laufend im Blick behalten und ggf. durch Unternehmensaktivitäten eine Steuerung avisiert (bspw. durch Engagement im Bereich der Ansprache politischer Entscheidungsträger in Bezug auf Investitionsprogramme für Klimaanpassungsmaßnahmen im frühkindlichen Bildungsbereich).","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
178,"E1-IRO-1","Beschreibung der Verfahren zur Ermittlung und Bewertung der wesentlichen klimabezogenen Auswirkungen, Risiken und Chancen","20","20c (i)","c) klimabedingte Übergangsrisiken und Chancen im eigenen Betrieb und innerhalb der vor- und nachgelagerten Wertschöpfungskette, insbesondere:
i. die Ermittlung klimabedingter Übergangsereignisse, wobei mindestens ein Klimaszenario anzuwenden ist, das die Begrenzung der globalen Erwärmung auf 1,5 °C ohne oder mit begrenzter Überschreitung berücksichtigt.","Das Unternehmen beschreibt seine Verfahren zur Ermittlung und Bewertung klimabezogener Auswirkungen, Risiken und Chancen, einschließlich der Bewertung von Treibhausgasemissionen, klimabedingten physischen Risiken und ihrer Auswirkungen auf Vermögenswerte und Geschäftstätigkeiten.","Ermittlung und Bewertung klimabezogener Auswirkungen, Risiken und Chancen","Beschreiben Sie die Ermittlung klimabedingter Übergangsereignisse","Zur Ermittlung klimabedingter Übergangsereignisse wurden Szenarien betrachtet, die mit einer Begrenzung der globalen Erwärmung auf 1,5 °C ohne oder mit begrenzter Überschreitung vereinbar sind.

Dabei wurden insbesondere folgende Übergangsereignisse identifiziert:
- Regulatorische Veränderungen, z. B. verschärfte Anforderungen an Energieeffizienz, Klimaschutz, Gebäude- und Emissionsstandards,
- Markt- und Kostenentwicklungen, insbesondere steigende Energiepreise, CO₂-bezogene Kosten sowie veränderte Anforderungen öffentlicher Fördergeber und Kommunen,
- Technologische Entwicklungen, etwa die zunehmende Verfügbarkeit und Erwartung emissionsarmer Energieversorgung und Gebäudetechnik,
- Gesellschaftliche und institutionelle Erwartungen, insbesondere steigende Anforderungen von Kommunen, Eltern und Öffentlichkeit an klimaverantwortliches Handeln.

Diese Übergangsereignisse wurden qualitativ in Bezug auf Relevanz und Eintrittswahrscheinlichkeit analysiert.","","","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand.  Chancen und Risiken werden laufend im Blick behalten und ggf. durch Unternehmensaktivitäten eine Steuerung avisiert (bspw. durch Engagement im Bereich der Ansprache politischer Entscheidungsträger in Bezug auf Investitionsprogramme für Klimaanpassungsmaßnahmen im frühkindlichen Bildungsbereich).","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
179,"E1-IRO-1","Beschreibung der Verfahren zur Ermittlung und Bewertung der wesentlichen klimabezogenen Auswirkungen, Risiken und Chancen","20","20c (ii)","c) klimabedingte Übergangsrisiken und Chancen im eigenen Betrieb und innerhalb der vor- und nachgelagerten Wertschöpfungskette, insbesondere:
ii. eine Bewertung, inwieweit die Vermögenswerte und Geschäftstätigkeiten des Unternehmens im Hinblick auf die Entstehung von Brutto-Übergangsrisiken oder Chancen diesen klimabedingten Übergangsereignissen ausgesetzt sein können.","Das Unternehmen beschreibt seine Verfahren zur Ermittlung und Bewertung klimabezogener Auswirkungen, Risiken und Chancen, einschließlich der Bewertung von Treibhausgasemissionen, klimabedingten physischen Risiken und ihrer Auswirkungen auf Vermögenswerte und Geschäftstätigkeiten.","Ermittlung und Bewertung klimabezogener Auswirkungen, Risiken und Chancen","Geben Sie eine Bewertung der Exposition von Vermögenswerten und Geschäftstätigkeiten gegenüber klimabedingten Übergangsereignissen an","Die Exposition der Vermögenswerte und Geschäftstätigkeiten gegenüber klimabedingten Übergangsereignissen wurde qualitativ bewertet.

Übergangsrisiken ergeben sich insbesondere aus:
- steigenden Energie- und Betriebskosten, die sich auf die Wirtschaftlichkeit einzelner Einrichtungen auswirken können,
- erhöhtem Anpassungsbedarf bei Gebäuden, insbesondere dort, wo Fröbel nicht Eigentümer der Immobilien ist,
- wachsenden Anforderungen öffentlicher Träger an Klimaschutzleistungen im Rahmen von Betrieb, Finanzierung und Vergabe.

Gleichzeitig bestehen Übergangschancen, insbesondere durch:
- die frühzeitige Umstellung auf energieeffiziente und emissionsarme Versorgung,
- eine stärkere Positionierung als nachhaltiger Träger gegenüber Kommunen und Fördergebern,
- langfristige Kostenstabilität durch Energieeffizienzmaßnahmen.

Insgesamt wird die Exposition gegenüber Übergangsrisiken als relevant, aber steuerbar eingeschätzt, sofern strategische Maßnahmen konsequent umgesetzt werden.","","","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand.  Chancen und Risiken werden laufend im Blick behalten und ggf. durch Unternehmensaktivitäten eine Steuerung avisiert (bspw. durch Engagement im Bereich der Ansprache politischer Entscheidungsträger in Bezug auf Investitionsprogramme für Klimaanpassungsmaßnahmen im frühkindlichen Bildungsbereich).","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
180,"E1-IRO-1","Beschreibung der Verfahren zur Ermittlung und Bewertung der wesentlichen klimabezogenen Auswirkungen, Risiken und Chancen","AR 11","AR 11a","Bei der Angabe der Informationen über die Verfahren zur Ermittlung und Bewertung der physischen Risiken gemäß Absatz 20 Buchstabe b erläutert das Unternehmen, ob und wie
Es kurz-, mittel- und langfristige Klimagefahren (siehe nachstehende Tabelle) ermittelt hat ","Das Unternehmen erläutert seine Verfahren zur Ermittlung und Bewertung klimabedingter physischer Risiken, einschließlich der Bewertung der Anfälligkeit von Vermögenswerten und Geschäftstätigkeiten sowie der Nutzung von Klimaszenarien mit hohen Emissionen.","Klimabedingte physische Risiken: Verfahren zur Ermittlung und Bewertung","Hat Ihr Unternehmen kurz-, mittel- und langfristige Klimagefahren (siehe nachstehende Tabelle) ermittelt?",": No","","Zum Berichtszeitpunkt wurden kurz-, mittel- und langfristige klimabedingte physische Gefahren noch nicht systematisch und standortspezifisch im Sinne einer formalen Risikoanalyse ermittelt. Eine detaillierte Bewertung der Klimagefahren (z. B. Hitze, Starkregen, Dürre) entlang definierter Zeithorizonte sowie eine strukturierte Zuordnung zu einzelnen Vermögenswerten und Geschäftstätigkeiten liegt derzeit noch nicht vor.

Wir befinden uns noch in der Vorbereitung eines entsprechenden Analyseprozesses. Aufbauend auf der bestehenden Treibhausgasbilanz, dem Transitionsplan sowie den bereits identifizierten klimabezogenen Risiken im eigenen Betrieb ist vorgesehen, künftig eine strukturierte Bewertung klimabedingter physischer Risiken durchzuführen. Diese soll sowohl kurz-, mittel- als auch langfristige Zeithorizonte berücksichtigen und geeignete Klimaszenarien, einschließlich solcher mit hohen Emissionen, einbeziehen.

Die Ergebnisse dieser Analyse sollen in die Weiterentwicklung der Nachhaltigkeitsstrategie, die Priorisierung von Klimaanpassungsmaßnahmen sowie in investive Entscheidungen einfließen und in zukünftigen Berichtszeiträumen transparent offengelegt werden.","REPORTABLE","Mandatory","NOT_SPECIFIED","COMPLETED","Accepted","Bearbeitung wird angenommen. Die Darstellung entspricht dem aktuellen Umsetzungsstand. ","No","Thomas Kurschat (thomas.kurschat@froebel-gruppe.de)","Nora Liewald (nora.liewald@froebel-gruppe.de)"
